V1,A.S. President,A.S. President,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,
R_cHiCpnU8Yo56MLz,1,3,"Temporibus! Laoreet lacus natoque nunc quam, dui convallis sit pharetra turpis purus in aliquam.",2,4,,,,,,1,2,Ante lorem facilisis diam rutrum scelerisque integer tellus! Quam potenti ultrices natoque diam vel sem.,4,3,2,,,1,,,,,,,,,,,,,1,,,,,,,,,2,,10,,1,6,,,8,,,7,,,,,,,,11,,,,,5,,,,,9,3,,4,"Sed sed. Neque, tempor in justo wisi. Bibendum aliquam donec. Magnis volutpat. Tellus vulputate.",,,,,,,,,,,,,,
R_6rK4ijLOGcnV0A5,2,3,Ullamcorper praesent vehicula faucibus sed erat a quam atque molestie.,4,1,2,3,"Velit in auctor odio, bibendum quis, arcu et mi tempora natoque.",1,,2,1,Erat dui rutrum! Est lorem fermentum wisi? Accusamus posuere vel sodales interdum euismod purus pellentesque.,,,1,4,"Dignissim, maecenas ut nulla gravida lacus in? Faucibus mattis. Egestas sodales vulputate vestibulum.",2,3,,1,Etiam arcu tempus convallis sit bibendum erat ullamcorper tortor posuere pellentesque? Nulla. Morbi.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5ikilDJJ66g3wQB,2,1,Pede tempora elementum ut posuere accusamus culpa? Potenti dictumst praesent primis fusce maecenas.,4,3,,,,1,,,1,"Nullam. Felis arcu, augue porta cras sollicitudin bibendum faucibus id in morbi quis eleifend placerat.",,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_78JvmTVw9WP7DjT,4,2,Diam? Proin magnis ullamcorper cursus aenean ut sollicitudin. Sapien molestie per vestibulum etiam est. Luctus.,3,1,2,,,,1,,,,2,1,1,2,Id integer pede rhoncus faucibus iaculis pharetra rutrum sem! Dapibus dignissim pretium.,,,1,2,Duis elementum aliquet erat dapibus. Mattis maecenas venenatis eleifend nunc tortor sollicitudin. Mi! Ut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3dtRRAg334DVnQ9,1,4,Ultrices ante lorem maecenas facilisi diam tortor auctor eu? Suspendisse.,3,2,,,,,,2,1,"Nullam. Per. Pretium, atque justo sapien nunc atque faucibus tempora. Consequat.",,3,4,3,"Ullamcorper convallis? Sapien? Malesuada. Nibh non in, amet eros phasellus, tincidunt culpa montes.",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5j6rjNJDoMz5UZT,2,1,"Nec? Venenatis eget? Mauris erat suscipit! Volutpat, platea nec montes blandit ridiculus felis ullamcorper.",4,3,,,,,,1,4,Malesuada eget velit! Tempor! Et posuere dui diam odio morbi eros tempora wisi porta morbi.,2,3,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6rnSaAvZKfJ9zdb,4,2,Tempora dolorem. Convallis eros diam. Diam turpis imperdiet. Dapibus. Accusamus.,3,1,2,,,,1,4,1,"Dapibus tempor orci, fringilla vel nonummy? Lacus? Sit? Viverra! Ab.",2,3,3,,,2,1,2,3,Blandit orci nonummy ab eleifend maecenas bibendum. Culpa arcu nulla. Ipsum. Dolorem! Convallis risus.,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8G4jn1mcC7EGb5P,2,1,Pharetra non velit purus vehicula potenti! Atque urna platea posuere massa.,4,3,1,4,"Blandit at vestibulum urna lectus facilisis? Elementum magna eleifend fermentum! Ab, iaculis.",3,2,,2,Vestibulum pellentesque! Nonummy turpis. Quis fusce pretium ac. Non dolor massa ut vestibulum ipsum fermentum.,,1,3,2,"Accumsan! Culpa platea potenti. Malesuada ligula scelerisque quam, ante. Accumsan.",1,,1,3,Sed duis erat rhoncus praesent accumsan odio ullamcorper sed odio dapibus dignissim ut elit elementum.,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3aU8FhxL3FlAFmt,4,3,Neque. Vitae imperdiet magnis. Bibendum lorem blandit suspendisse venenatis tincidunt.,1,2,,1,Aliquam venenatis leo maecenas ac curabitur etiam non quis aliquam nunc magnis.,,2,2,1,Primis aliquam. Tempora. Etiam pretium a! Integer nonummy accusamus magna.,,,3,2,Maecenas mattis lectus mattis est felis arcu est laoreet vehicula posuere vivamus interdum culpa.,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_821pOvoaMfrmTPf,4,2,Et magna morbi nec iaculis velit nullam magna metus aliquet.,1,3,,2,"Leo facilisis ut montes, justo scelerisque imperdiet placerat dignissim laoreet commodo fusce lacus phasellus sagittis.",1,3,2,,,1,,1,,,3,2,3,2,A id fusce pellentesque! Eget praesent maecenas! Ultrices phasellus. Curabitur rutrum ullamcorper ante.,,1,,,,3,2,1,,,,,,,,,,,,,,7,12,1,9,,3,,,,,,,2,,11,,8,,,5,,,13,4,6,10,,,,,,,,,,,,,,,,,,
R_0pKkbgqu54SaXUp,4,3,Ante metus cras lacus sodales vitae mauris temporibus vulputate malesuada. Volutpat phasellus.,2,1,,,,1,,1,3,"Diam accumsan morbi blandit, praesent facilisis lacus! Ipsum iaculis sagittis accusamus tempor natoque.",,2,,,,,1,,,,,1,,,,,,,,,,,,,1,Convallis lectus elementum ullamcorper tempor. Enim primis iaculis! Sed fusce urna sollicitudin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_ekYQYgHEW6OYiO1,4,3,Natoque urna montes suscipit purus. Lectus nulla tempor laoreet quis convallis risus elit vel.,2,1,3,2,Justo urna ultricies nonummy suscipit at ipsum pellentesque accumsan montes volutpat. Sit suscipit rhoncus fringilla.,,1,,,,,,1,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,2,,,,,,
R_bsDWKJq1eMU2CdT,1,2,Lectus fusce. Aliquam. Per! Viverra integer! Ullamcorper? Vulputate fusce. Malesuada mi dignissim fermentum.,4,3,1,,,,2,2,1,Duis rutrum. Gravida mattis malesuada blandit est nonummy vivamus! Pretium platea! Imperdiet placerat massa.,4,3,2,,,1,,,2,"Laoreet tempus fringilla ipsum ligula accusamus cursus consectetuer orci, a diam lectus ante.",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8AoVyGL6Q1AqVOl,4,1,Commodo euismod platea vulputate etiam. Urna tempus egestas. Porta interdum gravida neque pharetra ridiculus.,2,3,1,4,"Tortor elementum lectus, natoque lectus eu auctor pretium vulputate? Fringilla faucibus arcu quam.",2,3,,,,,1,,3,"Urna ullamcorper aliquam tortor per vulputate! Ridiculus arcu fermentum tempor nibh. Natoque placerat, primis.",1,2,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_a63H54b2q3dlY0J,1,4,Amet culpa eleifend consequat mi dignissim! Rhoncus quam blandit consectetuer purus mattis velit fringilla.,3,2,2,4,Vehicula montes? Platea etiam posuere culpa in phasellus ligula temporibus? Gravida pellentesque. Neque egestas luctus.,3,1,,1,Risus? Commodo bibendum erat culpa a pretium scelerisque egestas accusamus nonummy.,,,4,3,Egestas eleifend porta. Est! In consequat montes! Culpa risus cursus.,1,2,1,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3NOaQDIVrxz2ynb,4,3,"Convallis. Wisi praesent, eleifend. Integer consectetuer commodo? Euismod suscipit. Posuere, ultrices.",2,1,,,,,,,,,,,,,,,,4,1,"Culpa augue, laoreet nunc molestie aliquam facilisi posuere pellentesque odio fusce integer. Vel erat.",3,2,3,,,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3aadusbHDDNQ5TL,4,1,Aliquam porttitor nunc interdum dolorem ullamcorper eget! Diam eget! Placerat curabitur. Velit.,3,2,,,,1,2,3,1,"Phasellus quam cursus ligula. Commodo cursus, purus molestie vulputate potenti.",4,2,2,3,Sagittis facilisis nec ipsum dignissim magna blandit pede proin facilisi.,4,1,,1,Amet pede sit in neque elementum mi quam ullamcorper facilisi massa volutpat mi aliquam.,2,,,,,,,,,2,1,Felis facilisi bibendum? Malesuada. Lorem pharetra ab suscipit rutrum. Enim eget magna. Cras proin.,,,,,,,7,,8,2,1,,5,4,,,6,9,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
R_2fx1y9wLwKfPeBv,4,2,"Vel facilisi. Tempora tempora ac a dapibus dui ullamcorper morbi. Et, magnis curabitur placerat.",3,1,2,,,1,3,,,,,,4,2,"Per, enim. Magna enim a molestie malesuada? Egestas porta egestas dictumst leo.",3,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,8,,,,7,2,,,,5,,4,,6,,,,1,,,,,,,,,,,,,,,,,
R_5nmx4TvWcCnEXgF,2,1,"Aliquet platea vitae donec lorem dictumst ut dignissim, phasellus potenti luctus! Turpis id temporibus cursus.",3,4,2,,,3,1,,,,1,,2,3,Eu enim posuere dolor consequat arcu vitae magnis eros nec! Magna sagittis.,1,4,1,3,"Metus suspendisse imperdiet, arcu orci odio magnis magnis praesent? Magnis potenti duis.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0SP4c1vjasi4XsN,2,4,"Vel atque. Curabitur proin convallis aliquet proin amet bibendum placerat vivamus purus, amet nonummy.",3,1,1,,,,,,3,"Urna, magnis per non vivamus eros. Vel cras nullam eu etiam neque justo? Viverra.",1,2,1,4,Convallis tincidunt tempus per metus porttitor nonummy erat. Non leo interdum.,3,2,1,2,Tempus sit orci duis odio? Elit elementum est nec! Rhoncus.,4,3,,,,,,,,2,1,Praesent! Commodo natoque sed atque natoque! Aliquet amet ullamcorper aenean velit lacus? Dapibus.,,,,,,2,,,,,4,,1,,,,,,,,,5,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
R_dcFJcPq1sxXVs2N,2,1,"Est, sagittis in mi lectus tempus rutrum integer! Quis auctor fermentum montes.",3,4,4,3,Duis enim mauris. Ultrices neque? Turpis. Phasellus phasellus mattis ipsum placerat bibendum tempora sapien nibh.,2,1,,1,Cras commodo ipsum eget erat vestibulum culpa felis diam dui aenean.,,2,,1,"Orci ultrices rutrum! Orci faucibus, nibh rutrum. Nulla aliquet sagittis tempus.",3,2,,,,1,2,4,2,Metus accusamus culpa temporibus porta amet. Consectetuer primis felis commodo metus.,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9zRnwZk4hn8xxRP,4,3,Viverra nec. Primis curabitur. Mauris felis iaculis fringilla vivamus! Montes vel.,2,1,4,1,Platea eget elementum phasellus mauris praesent per vestibulum tempor nunc. Nibh! Commodo sem placerat iaculis.,3,2,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
R_9SIl4wrGiYo1NSl,2,4,Porta. Massa sollicitudin. Ac! Morbi commodo? Rutrum. Fringilla aenean vel gravida. Atque.,1,3,,,,,,3,2,Vel urna interdum massa! Natoque porta vitae. Wisi vestibulum vestibulum! Aenean phasellus gravida aliquet.,,1,,,,,,1,,,3,2,,,,,,,,,,,,2,3,Phasellus suspendisse lorem fusce sed laoreet ultricies blandit duis quis.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7WmKAJgMXMMP64J,4,1,Bibendum lectus. Iaculis morbi. Et pretium leo dictumst purus. Vitae erat tempora.,2,3,,,,,,,1,Accusamus ultrices duis mauris quis. Dolor elit vitae mi! Dolorem velit. Dignissim cursus.,3,2,,,,,,2,,,1,3,,,,,,,,,,,,,2,"Quam tempus risus, accumsan leo! Ligula dignissim ultricies ridiculus! Ut.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_d4rw6ErL5R95qip,4,3,Ac urna nec ultricies auctor lectus integer est lacus accumsan. Interdum. Ut.,2,1,,,,2,1,,1,Aliquam porttitor nibh convallis egestas ab consectetuer venenatis vehicula platea. Praesent.,,2,,1,Odio sodales sodales amet maecenas atque et dignissim velit nulla tempus.,,,,,,,,,,,,,,,,1,"Wisi orci cursus consequat accusamus nullam luctus odio, vehicula sollicitudin non.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bBLeHhMbTR9CCAl,1,3,"Duis lectus ullamcorper amet. Auctor? Odio volutpat nec cursus facilisis, quis tempor ligula enim amet.",2,4,,,,,,,2,Natoque? Eu eros ultrices scelerisque? Blandit. Tempora ultricies id sed sem mattis in platea.,1,3,4,1,"Ridiculus egestas. Arcu fringilla velit sapien iaculis faucibus laoreet, eget viverra cursus nunc felis est.",2,3,,1,"A vivamus euismod sit? Dictumst aliquam dui, ligula imperdiet blandit.",,,1,4,Praesent. Tellus! Sodales convallis dolorem lectus ac facilisi phasellus potenti commodo? Imperdiet. Vulputate tortor.,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,Montes vestibulum urna. Consectetuer metus fermentum! Nonummy nec elit iaculis.,2,
R_eCLpJhknhc9ovo9,1,2,"Fusce. Tortor? Sed? Ut eleifend tempora enim ultricies primis, atque, natoque orci elit sem.",3,4,2,,,,1,,1,"Accusamus curabitur suspendisse, augue lectus cursus laoreet quam sem odio elementum aliquam per.",,,,1,Sagittis nunc elit venenatis morbi dui neque ultrices nec pede mauris.,,,,,,,,,,,,,,,1,3,"Per auctor fermentum, est ultricies bibendum pellentesque vehicula. Suspendisse? Quam.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mauris? Laoreet turpis. Viverra laoreet. Primis et maecenas nonummy porta venenatis.,,
R_aatxouKAKZEnMkB,2,1,Volutpat in consectetuer non. Ac? Quam arcu vulputate erat malesuada? A interdum euismod purus eu.,3,4,,,,,,1,,,2,,1,2,Eu! Id tempora. Pharetra cras posuere? Vehicula commodo nonummy pede duis in.,4,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_aY76yHrxLEaXJnn,1,4,Pellentesque diam. Dictumst blandit velit at integer nonummy? Dignissim? Dignissim.,2,3,3,1,Lorem integer facilisi? Massa! Porttitor aenean! Sit dolor nibh facilisis viverra vehicula.,4,2,,1,"Arcu sagittis mattis, elementum nec. Leo leo ac luctus erat morbi egestas.",,2,,,,,1,,1,"Molestie auctor? Nulla iaculis, per porttitor! Praesent felis aliquet magna sollicitudin blandit velit.",,,,,,,,,,,,,,2,1,"Ut placerat nulla elit interdum nunc, potenti blandit dui, sit convallis ultrices tempora.",3,,,9,1,,,,8,,,,3,,,2,,5,,,4,,,10,,,7,,6,,,11,12,,,,,,,,,,,,,,,,
R_4ZQkbxwyIemDuHr,2,4,"Cursus placerat arcu per eros aenean auctor. Quam tempora. Ullamcorper, nibh.",3,1,,,,,,1,,,,2,,1,Duis risus donec. Eleifend donec metus at venenatis eros! Tempor.,2,,,,,,,,,,,,,,2,1,"Volutpat in! Nullam sagittis vehicula amet bibendum ultrices, eros scelerisque at.",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_51FheI8x0IR6EQd,4,2,Non! Maecenas. Nibh commodo bibendum orci venenatis natoque blandit laoreet? Ridiculus massa velit scelerisque turpis.,1,3,1,4,"Ultrices primis, sollicitudin diam iaculis erat volutpat curabitur. Urna sagittis.",3,2,,,,,,,1,Ipsum dolor erat faucibus quis ab consectetuer quam tempus ab.,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,6,,,,,,4,,,5,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,
R_eCI1vQ3zhXGCM7z,4,2,"Eu duis auctor, fermentum. Proin! Venenatis vestibulum. Placerat rhoncus suscipit.",3,1,,,,2,1,,1,Tempora lacus? Metus aenean lacus nonummy eros curabitur purus turpis. Primis bibendum praesent accumsan. Tortor.,,,4,3,Facilisis eu? Phasellus atque eu cursus? Aliquet! Rutrum. Accumsan nullam? Viverra.,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
R_8nNyI5nRX1JuWPz,3,4,Aenean consequat atque vitae malesuada quam! Dignissim tortor enim suspendisse mi. Posuere.,1,2,,,,2,1,4,2,"Wisi! At tempus lectus posuere donec duis, malesuada facilisis viverra lorem egestas.",1,3,,,,,1,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,1,2,,,,,
R_d6cDtCnCPy3jxw9,4,1,Aenean! Ac fermentum ultricies suspendisse cursus posuere venenatis sem nullam interdum blandit iaculis natoque.,2,3,1,,,3,2,1,,,,2,1,,,,,3,1,"Primis, interdum fusce? Euismod gravida nulla atque vitae ut temporibus tincidunt vehicula, pede.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Ut volutpat duis vestibulum sollicitudin? Scelerisque primis, pellentesque mauris augue dignissim.",,,,,,,,,,,,
R_0iCYYIwoPqNXFRP,4,3,"Suscipit quam, at. Ultrices. Posuere risus enim sagittis vitae purus. Vestibulum nec integer dui.",1,2,,1,Venenatis. Donec id orci. Ipsum lacus. Imperdiet! Montes tellus! Euismod cras.,,,,,,,1,,2,"Est ligula arcu? Augue culpa porta ultricies dictumst aenean, ultrices urna! Non fusce.",1,,2,1,"Auctor malesuada, enim tortor scelerisque primis eu culpa vehicula eleifend montes cras! Massa enim.",,,,,,,,,,,,,,,1,Pretium metus. Scelerisque placerat nec erat eros dolorem aliquet maecenas quam primis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bE3qTCA3vCG3GQt,4,1,"Tempor facilisi? Facilisi donec consequat quam ultricies orci imperdiet, consectetuer enim.",2,3,1,4,"Facilisis cras fringilla tempora pellentesque. Tempor. Faucibus quis purus dolor, rhoncus cursus. Vulputate turpis.",3,2,,1,"Massa? Velit turpis, velit tempor donec, neque non. Sollicitudin. Ultrices? Sed tempor fusce temporibus. Molestie.",,,,,,2,1,3,4,Commodo bibendum enim pretium mattis fermentum arcu. Nibh accusamus eleifend a lacus viverra.,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bsgZLlKfXHK9o2h,4,3,"Porttitor euismod urna eros egestas eu ut, tempor fusce viverra sodales elit suspendisse.",1,2,,,,,,1,,,2,,,,,,,4,1,Dolor ante lectus augue potenti cras elementum pede phasellus convallis etiam? Sit suspendisse dignissim.,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,"Wisi ac tellus proin! Dictumst pharetra eget velit rhoncus? Aliquam, tempora eros ante, ac! Aenean.",2,
R_3gzay7HAsmX8gD3,2,4,Vel. Dui dui aliquet a justo bibendum justo? Tempora! Potenti.,3,1,,,,,,,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
R_3O8V04LfkLFNJFr,1,4,"At mauris mauris. Aliquam. Temporibus nulla cras, praesent, eu luctus! Enim! Magna, nec at.",2,3,,1,Accusamus? Ullamcorper in suspendisse blandit non tempor bibendum gravida arcu tempor sollicitudin.,,,3,2,"Primis. Rhoncus. Pharetra integer? Viverra eleifend ut! Accusamus. Integer, eleifend id convallis integer facilisi.",1,4,,1,Elementum ac aliquet praesent natoque imperdiet phasellus sagittis? Faucibus aliquam vestibulum! Fringilla. Vitae.,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Fringilla fermentum quis accumsan nunc lectus eleifend ut montes sapien augue.,,2,,,,,,,,,,
R_54NX2BX3bwCQzfT,1,2,"Magna, turpis non aliquam atque sodales nunc. Mi sit? Malesuada! Gravida.",4,3,1,,,,,,,,,,,1,Convallis? Dictumst risus nibh lectus nec non wisi temporibus. Duis.,,,2,4,"Rhoncus ridiculus malesuada pede luctus integer per mattis? Ante. Laoreet, etiam? Metus? Maecenas.",3,1,,2,Erat montes fermentum vestibulum ultricies arcu molestie? Vivamus. Enim scelerisque luctus elit! Placerat sed vel.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1RKS96E0uzRozSl,2,3,"Ligula tempus, aliquam temporibus blandit tempora ultricies, neque elit? Nonummy facilisis eleifend vel. Porttitor.",4,1,2,3,"Est bibendum! Dui suscipit praesent elementum nonummy in augue neque tempor eu, volutpat enim.",1,,3,2,Nec auctor magnis non? Suspendisse imperdiet tempor lectus dolor eu.,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aWNinYRmWfbcV6t,3,1,Sodales risus magna duis venenatis sapien ab sagittis montes vehicula sem! Gravida fringilla integer est.,2,4,,,,,,2,,,3,1,1,,,,,,3,Integer tempora molestie culpa curabitur. Metus phasellus. Aliquam luctus tempora.,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Pharetra lectus laoreet dictumst sit vel ullamcorper sollicitudin lorem, rhoncus.",1,,,,,,2,,,,,
R_9KAE8YGgKwIkEh7,1,2,"In gravida. Sem malesuada tincidunt erat donec gravida atque convallis, tortor.",4,3,,1,"Accumsan pede id? Justo, bibendum vivamus velit ligula, sollicitudin nulla vitae elit interdum.",,,1,,,,,3,1,Posuere porta! Dictumst pellentesque. Non per ultrices nec dolorem eget iaculis arcu posuere ab porta.,2,4,,2,Consectetuer accusamus potenti faucibus! Arcu facilisis malesuada curabitur wisi iaculis. Ante eleifend leo nonummy.,1,,,,,,,,,,,,,2,3,Faucibus maecenas. Sit! Tincidunt. Mattis quam fermentum dolor sed sapien porta ab sem imperdiet.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0pwYRBO7KHzH5R3,1,3,Ante in diam. Tempor purus. Metus tellus. Amet? Temporibus dapibus aenean.,2,4,1,,,,2,3,2,Suscipit tempus! Tempus duis ultricies consectetuer convallis morbi. Faucibus. Mattis eget sed in.,1,,2,,,1,3,1,4,Porttitor phasellus felis dolor venenatis platea molestie suscipit dapibus ac dignissim tempor risus nonummy.,3,2,,,,,,,,,,,,,,,,,11,,,,4,,1,,,9,,,,,,,,3,8,,7,,,,6,,5,,2,,10,,,,,,,,,,,,,,,,
R_bCaiIsMFuW3Ssfj,2,3,"Sit? Euismod iaculis at. Turpis eu ab fringilla, rhoncus commodo etiam! Venenatis dui viverra.",1,4,,,,,,,1,"Tempora? Rhoncus augue tempus sodales fringilla suspendisse eleifend, dolorem! Lacus sem risus sed.",,,,1,"Nonummy convallis fringilla eu, eleifend viverra! Dui malesuada etiam tellus. Etiam odio.",,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,
R_42Y3ASv0AchfPqR,1,2,Egestas egestas auctor natoque elit. Vulputate facilisi cras dolorem purus.,3,4,,,,,,,2,Nunc? Porta nonummy nunc purus. Vulputate. Viverra porta placerat a ante.,,1,3,1,"Eleifend laoreet tempora, donec lacus facilisis! Morbi. Ullamcorper? Nibh euismod.",2,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
R_0udL5Skq21Pk75z,4,2,Tempora quam blandit. Suspendisse facilisi imperdiet! Dignissim facilisi atque quis temporibus volutpat. Erat elementum. Risus.,3,1,1,,,2,3,,,,,1,3,2,Posuere at culpa? Id fusce accusamus faucibus orci pellentesque a nulla erat volutpat commodo ultrices.,4,1,,,,,,,,,,,,,,,,,,1,Consectetuer enim vestibulum vel tellus ut venenatis nulla elit orci imperdiet vulputate massa aenean atque.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,
R_6J4sCy27K4Cjjs9,1,3,Eu platea faucibus laoreet tortor non justo orci magnis primis convallis.,4,2,,,,,,1,,,2,3,3,2,Aliquam. Nunc metus. Interdum porta tincidunt ipsum sagittis. Purus urna. Sed blandit! Egestas.,1,4,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
